seq_num,time,det_value
1,2025-10-09 01:01:27.010983944,0.8352686204685
2,2025-10-09 01:01:27.142363787,0.8322121436938206
3,2025-10-09 01:01:27.270369053,1.1902882844844667
4,2025-10-09 01:01:27.397078037,0.876224296791447
5,2025-10-09 01:01:27.521028041,1.092802190089384
6,2025-10-09 01:01:28.667201042,1.2668864859948985
7,2025-10-09 01:01:28.817496061,1.2001571353413436
8,2025-10-09 01:01:28.955929041,0.9683619062082289
9,2025-10-09 01:01:29.093325138,1.150859964521156
10,2025-10-09 01:01:29.227149010,1.0355241997847149
11,2025-10-09 01:01:30.375598192,1.2088731031463313
12,2025-10-09 01:01:30.513542890,1.122300918477305
13,2025-10-09 01:01:30.647802114,0.9645264139212029
14,2025-10-09 01:01:30.783297062,1.0902128617485163
15,2025-10-09 01:01:30.917894840,0.9992191563352828
16,2025-10-09 01:01:32.078022003,0.8912942147178452
17,2025-10-09 01:01:32.223493814,0.9840779578691193
18,2025-10-09 01:01:32.361434937,1.111648000535614
19,2025-10-09 01:01:32.496239185,1.0367472801996813
20,2025-10-09 01:01:32.626445055,0.5121002122416927
21,2025-10-09 01:01:33.780623198,1.0388495899665968
22,2025-10-09 01:01:33.926211119,0.9003946088481318
23,2025-10-09 01:01:34.067203999,0.7775897970900072
24,2025-10-09 01:01:34.202802896,0.9348030169390626
25,2025-10-09 01:01:34.333628893,1.260062146434146
26,2025-10-09 01:01:35.485007048,1.037081079484125
27,2025-10-09 01:01:35.611808062,1.1857487398657234
28,2025-10-09 01:01:35.740775824,1.1546686716040162
29,2025-10-09 01:01:35.871981144,1.1008771148955683
30,2025-10-09 01:01:36.005235910,1.0347482822537983
31,2025-10-09 01:01:37.155766010,1.0314425754160723
32,2025-10-09 01:01:37.298280001,1.0820266236924352
33,2025-10-09 01:01:37.431338072,0.6980815820727103
34,2025-10-09 01:01:37.562623978,0.9670093171356469
35,2025-10-09 01:01:37.689678192,1.0983269052093312
36,2025-10-09 01:01:38.841734886,0.9012251971873672
37,2025-10-09 01:01:38.986749887,0.7604212139455702
38,2025-10-09 01:01:39.119244099,1.0155284630890664
39,2025-10-09 01:01:39.257315159,0.9699505425410323
40,2025-10-09 01:01:39.394450903,1.2421677798527837
41,2025-10-09 01:01:40.552841902,0.7873325449329235
42,2025-10-09 01:01:40.696676016,1.0231991947157821
43,2025-10-09 01:01:40.837960005,1.3581849447006984
44,2025-10-09 01:01:40.982249975,0.974387054214321
45,2025-10-09 01:01:41.124327898,1.0125365659014756
46,2025-10-09 01:01:42.277903795,0.915290797399656
47,2025-10-09 01:01:42.422142982,1.2018658167309213
48,2025-10-09 01:01:42.558513880,0.8831407884359819
49,2025-10-09 01:01:42.695508003,0.8234289834406551
50,2025-10-09 01:01:42.822960854,1.167476095622319
