seq_num,time,det_value,motor
1,1761486425.459836,1.0100666390796207,0.0
2,1761486425.4623208,1.0124343512842302,0.5263157894736842
3,1761486425.4646761,1.239259911118261,1.0526315789473684
4,1761486425.4669728,1.1629990377586137,1.5789473684210527
5,1761486425.469229,0.9537461510331295,2.1052631578947367
6,1761486425.471471,0.8113169523084762,2.631578947368421
7,1761486425.473706,1.128820893086784,3.1578947368421053
8,1761486425.476056,0.7012912113376175,3.6842105263157894
9,1761486425.478326,0.8316459527744607,4.2105263157894735
10,1761486425.480556,1.079244645287226,4.7368421052631575
11,1761486425.482763,1.0271827495955597,5.263157894736842
12,1761486425.48514,0.8625492592128324,5.789473684210526
13,1761486425.487505,1.3098822048705772,6.315789473684211
14,1761486425.489853,1.0085902423376383,6.842105263157895
15,1761486425.492217,1.0834651964332993,7.368421052631579
16,1761486425.49447,0.9264932781656301,7.894736842105263
17,1761486425.496703,1.0199448944476373,8.421052631578947
18,1761486425.4989161,1.21276991848579,8.947368421052632
19,1761486425.501117,1.0112575652717934,9.473684210526315
20,1761486425.503319,0.9383605715719144,10.0
