seq_num,time,det_value
1,2025-10-09 01:04:50.802096844,1.3296312047346308
2,2025-10-09 01:04:50.935353994,1.2463877564900903
3,2025-10-09 01:04:51.061600924,1.0299310721254933
4,2025-10-09 01:04:51.185964108,0.8187830737621661
5,2025-10-09 01:04:51.311695099,0.9105016794476695
6,2025-10-09 01:04:52.459589005,0.9468328423026189
7,2025-10-09 01:04:52.600466967,1.3022246633198218
8,2025-10-09 01:04:52.731415033,1.06315443931476
9,2025-10-09 01:04:52.860970974,0.8006257278762272
10,2025-10-09 01:04:52.988678932,1.3235669351009953
11,2025-10-09 01:04:54.134854794,1.0427464619582627
12,2025-10-09 01:04:54.261314154,0.8998528738482153
13,2025-10-09 01:04:54.390079975,1.192013846050974
14,2025-10-09 01:04:54.519032001,0.8795628691706652
15,2025-10-09 01:04:54.648541927,0.9265276454822816
16,2025-10-09 01:04:55.795437098,0.9309737988851929
17,2025-10-09 01:04:55.932692051,0.9187157020624486
18,2025-10-09 01:04:56.063640117,1.085010994587281
19,2025-10-09 01:04:56.191273928,1.0004434215711637
20,2025-10-09 01:04:56.315555096,0.9673370171678363
21,2025-10-09 01:04:57.461721182,1.1004157546994242
22,2025-10-09 01:04:57.598911047,0.9916121588391655
23,2025-10-09 01:04:57.729700089,0.9548159952303235
24,2025-10-09 01:04:57.855918169,1.0101878793661025
25,2025-10-09 01:04:57.984099150,0.9667668495254382
26,2025-10-09 01:04:59.129231215,1.168805230919458
27,2025-10-09 01:04:59.260843039,0.9870158495399723
28,2025-10-09 01:04:59.384506941,1.1248528992926927
29,2025-10-09 01:04:59.511935948,0.9677161557101092
30,2025-10-09 01:04:59.638012886,0.8131141996287423
31,2025-10-09 01:05:00.783053160,1.2176238176087948
32,2025-10-09 01:05:00.912234068,0.7804119541047361
33,2025-10-09 01:05:01.038986921,0.8370863020879569
34,2025-10-09 01:05:01.165472984,0.949221868516848
35,2025-10-09 01:05:01.291269064,0.96857812297653
36,2025-10-09 01:05:02.433300972,1.0818565551732893
37,2025-10-09 01:05:02.561237097,1.1404566062172679
38,2025-10-09 01:05:02.690918922,1.0415126272031874
39,2025-10-09 01:05:02.823333025,0.6910603873567754
40,2025-10-09 01:05:02.957296848,1.2678784424697578
41,2025-10-09 01:05:04.107118130,0.8134075616670369
42,2025-10-09 01:05:04.238821030,1.0257652442860759
43,2025-10-09 01:05:04.371285915,0.9037970159535398
44,2025-10-09 01:05:04.500087022,1.105954759763403
45,2025-10-09 01:05:04.629702806,1.0146734885240054
46,2025-10-09 01:05:05.772755861,0.9500436904063079
47,2025-10-09 01:05:05.912013054,1.0393946395809588
48,2025-10-09 01:05:06.043024778,0.997679935076331
49,2025-10-09 01:05:06.172137022,0.9445214862785867
50,2025-10-09 01:05:06.300068140,0.7604790450037073
